Centri delle immagini
Y	X
707	830
622	818
621	788
625	789
623	785
619	795
630	777
628	773
554	739
555	733
621	773
580	765
563	769
556	731
558	729
558	728
558	727
559	724
559	723
559	720
559	714
567	698
580	693
561	733
567	726
567	714
565	691
582	685
585	660
564	726
568	721
573	686
561	687
